Model,Step,Method,Bin_ID,Feature_Value
124M,23000,Random,33,1.3317890167236328
124M,23000,Random,34,1.343797206878662
124M,23000,Random,35,1.3410180807113647
124M,23000,Random,36,1.320265293121338
124M,23000,Random,37,1.3442062139511108
124M,23000,Random,38,1.3076448440551758
124M,23000,Random,39,1.3443822860717773
124M,23000,Random,40,1.3378520011901855
124M,23000,Random,41,1.3301222324371338
124M,23000,Random,42,1.3505022525787354
124M,23000,Random,43,1.3369816541671753
124M,23000,Random,44,1.3456310033798218
124M,23000,Stat,Mean,1.2426005601882935
124M,23000,Stat,Std,0.5518159866333008
124M,23000,Stat,Max,2.884148359298706
124M,23500,Frequency,0,2.4038567543029785
124M,23500,Frequency,1,2.3220455646514893
124M,23500,Frequency,2,2.240274667739868
124M,23500,Frequency,3,2.166285753250122
124M,23500,Frequency,4,2.092378854751587
124M,23500,Frequency,5,2.0289313793182373
124M,23500,Frequency,6,1.9631325006484985
124M,23500,Frequency,7,1.9001929759979248
124M,23500,Frequency,8,1.838665246963501
124M,23500,Frequency,9,1.782015323638916
124M,23500,Frequency,10,1.7345441579818726
124M,23500,Frequency,11,1.6914751529693604
124M,23500,Frequency,12,1.6318955421447754
124M,23500,Frequency,13,1.5904124975204468
124M,23500,Frequency,14,1.5339710712432861
124M,23500,Frequency,15,1.517886757850647
124M,23500,Frequency,16,1.4760127067565918
124M,23500,Frequency,17,1.4414706230163574
124M,23500,Frequency,18,1.3901772499084473
124M,23500,Frequency,19,1.3790251016616821
124M,23500,Frequency,20,1.3410080671310425
124M,23500,Frequency,21,1.2931371927261353
124M,23500,Frequency,22,1.289562702178955
124M,23500,Frequency,23,1.2489131689071655
124M,23500,Frequency,24,1.216795563697815
124M,23500,Frequency,25,1.1910685300827026
124M,23500,Frequency,26,1.1668424606323242
124M,23500,Frequency,27,1.1386401653289795
124M,23500,Frequency,28,1.112493872642517
124M,23500,Frequency,29,1.0812804698944092
124M,23500,Frequency,30,1.054245948791504
124M,23500,Frequency,31,1.0148876905441284
124M,23500,Frequency,32,0.9947909116744995
124M,23500,Frequency,33,0.9474033713340759
124M,23500,Frequency,34,0.9142782688140869
124M,23500,Frequency,35,0.8763031363487244
124M,23500,Frequency,36,0.8375685811042786
124M,23500,Frequency,37,0.7862601280212402
124M,23500,Frequency,38,0.747366189956665
124M,23500,Frequency,39,0.6928830146789551
124M,23500,Frequency,40,0.650908350944519
124M,23500,Frequency,41,0.6158981919288635
124M,23500,Frequency,42,0.5910547375679016
124M,23500,Frequency,43,0.5726907849311829
124M,23500,Frequency,44,0.5685963034629822
124M,23500,Random,0,1.343498706817627
124M,23500,Random,1,1.3607285022735596
124M,23500,Random,2,1.3753513097763062
124M,23500,Random,3,1.3601758480072021
124M,23500,Random,4,1.3515517711639404
124M,23500,Random,5,1.3496737480163574
124M,23500,Random,6,1.3257685899734497
124M,23500,Random,7,1.3278580904006958
124M,23500,Random,8,1.3455557823181152
124M,23500,Random,9,1.321938157081604
124M,23500,Random,10,1.3274871110916138
124M,23500,Random,11,1.3457709550857544
124M,23500,Random,12,1.3428232669830322
124M,23500,Random,13,1.3499836921691895
124M,23500,Random,14,1.3661705255508423
124M,23500,Random,15,1.3018414974212646
124M,23500,Random,16,1.3538566827774048
124M,23500,Random,17,1.3340048789978027
124M,23500,Random,18,1.3746778964996338
124M,23500,Random,19,1.3310974836349487
124M,23500,Random,20,1.3602737188339233
124M,23500,Random,21,1.3683689832687378
124M,23500,Random,22,1.3218315839767456
124M,23500,Random,23,1.3646533489227295
124M,23500,Random,24,1.3864421844482422
124M,23500,Random,25,1.3414052724838257
124M,23500,Random,26,1.3457773923873901
124M,23500,Random,27,1.3529250621795654
124M,23500,Random,28,1.351934790611267
124M,23500,Random,29,1.347269892692566
124M,23500,Random,30,1.3376967906951904
124M,23500,Random,31,1.35899019241333
124M,23500,Random,32,1.3589640855789185
124M,23500,Random,33,1.3442531824111938
124M,23500,Random,34,1.3562589883804321
124M,23500,Random,35,1.3521480560302734
124M,23500,Random,36,1.3315836191177368
124M,23500,Random,37,1.356329083442688
124M,23500,Random,38,1.3187475204467773
124M,23500,Random,39,1.3561941385269165
124M,23500,Random,40,1.3500750064849854
124M,23500,Random,41,1.341943621635437
124M,23500,Random,42,1.3619909286499023
124M,23500,Random,43,1.3486906290054321
124M,23500,Random,44,1.357231616973877
124M,23500,Stat,Mean,1.2529816627502441
124M,23500,Stat,Std,0.5591087341308594
124M,23500,Stat,Max,2.9111948013305664
124M,24000,Frequency,0,2.4267501831054688
124M,24000,Frequency,1,2.3439385890960693
124M,24000,Frequency,2,2.263186454772949
124M,24000,Frequency,3,2.1878623962402344
124M,24000,Frequency,4,2.1134250164031982
124M,24000,Frequency,5,2.050025463104248
124M,24000,Frequency,6,1.9822262525558472
124M,24000,Frequency,7,1.9181879758834839
124M,24000,Frequency,8,1.856833815574646
124M,24000,Frequency,9,1.7995680570602417
124M,24000,Frequency,10,1.7518965005874634
124M,24000,Frequency,11,1.7078745365142822
124M,24000,Frequency,12,1.647843837738037
124M,24000,Frequency,13,1.6055662631988525
124M,24000,Frequency,14,1.5483214855194092
124M,24000,Frequency,15,1.5323331356048584
124M,24000,Frequency,16,1.4896690845489502
124M,24000,Frequency,17,1.4551538228988647
124M,24000,Frequency,18,1.4033405780792236
124M,24000,Frequency,19,1.3904613256454468
124M,24000,Frequency,20,1.353055715560913
124M,24000,Frequency,21,1.3047568798065186
124M,24000,Frequency,22,1.3006752729415894
124M,24000,Frequency,23,1.2597240209579468
124M,24000,Frequency,24,1.227484941482544
124M,24000,Frequency,25,1.2012312412261963
124M,24000,Frequency,26,1.1767613887786865
124M,24000,Frequency,27,1.1479922533035278
124M,24000,Frequency,28,1.1217564344406128
124M,24000,Frequency,29,1.0897935628890991
124M,24000,Frequency,30,1.062880039215088
124M,24000,Frequency,31,1.0225415229797363
124M,24000,Frequency,32,1.0021370649337769
124M,24000,Frequency,33,0.9543799161911011
124M,24000,Frequency,34,0.9207957983016968
124M,24000,Frequency,35,0.882247805595398
124M,24000,Frequency,36,0.8428486585617065
124M,24000,Frequency,37,0.7902514934539795
124M,24000,Frequency,38,0.7513221502304077
124M,24000,Frequency,39,0.6957021355628967
124M,24000,Frequency,40,0.6531128883361816
124M,24000,Frequency,41,0.61723393201828
124M,24000,Frequency,42,0.5919182300567627
124M,24000,Frequency,43,0.5729973316192627
124M,24000,Frequency,44,0.5688658952713013
124M,24000,Random,0,1.354839563369751
124M,24000,Random,1,1.3724497556686401
124M,24000,Random,2,1.3878028392791748
124M,24000,Random,3,1.3721916675567627
124M,24000,Random,4,1.3631950616836548
124M,24000,Random,5,1.360845923423767
124M,24000,Random,6,1.3372361660003662
124M,24000,Random,7,1.338882327079773
124M,24000,Random,8,1.357225775718689
124M,24000,Random,9,1.3336130380630493
124M,24000,Random,10,1.3391029834747314
124M,24000,Random,11,1.3571292161941528
124M,24000,Random,12,1.3541122674942017
124M,24000,Random,13,1.3610199689865112
124M,24000,Random,14,1.377770185470581
124M,24000,Random,15,1.3131537437438965
124M,24000,Random,16,1.3659976720809937
124M,24000,Random,17,1.3456238508224487
124M,24000,Random,18,1.3861660957336426
124M,24000,Random,19,1.3418766260147095
124M,24000,Random,20,1.3723698854446411
124M,24000,Random,21,1.3807284832000732
124M,24000,Random,22,1.3331212997436523
124M,24000,Random,23,1.376312017440796
124M,24000,Random,24,1.3985168933868408
124M,24000,Random,25,1.3532047271728516
124M,24000,Random,26,1.3581054210662842
124M,24000,Random,27,1.3647595643997192
124M,24000,Random,28,1.363201379776001
124M,24000,Random,29,1.3598791360855103
124M,24000,Random,30,1.3492099046707153
124M,24000,Random,31,1.3707964420318604
124M,24000,Random,32,1.3713128566741943
124M,24000,Random,33,1.3567073345184326
124M,24000,Random,34,1.3686202764511108
124M,24000,Random,35,1.3635791540145874
124M,24000,Random,36,1.3431048393249512
124M,24000,Random,37,1.367889642715454
124M,24000,Random,38,1.3301842212677002
124M,24000,Random,39,1.3671690225601196
124M,24000,Random,40,1.3623062372207642
124M,24000,Random,41,1.3538155555725098
124M,24000,Random,42,1.3734959363937378
124M,24000,Random,43,1.360086441040039
124M,24000,Random,44,1.3694895505905151
124M,24000,Stat,Mean,1.2632728815078735
124M,24000,Stat,Std,0.5662581920623779
124M,24000,Stat,Max,2.939845561981201
124M,24500,Frequency,0,2.4495959281921387
124M,24500,Frequency,1,2.36700701713562
124M,24500,Frequency,2,2.284430980682373
124M,24500,Frequency,3,2.2094521522521973
124M,24500,Frequency,4,2.133235454559326
124M,24500,Frequency,5,2.0703113079071045
124M,24500,Frequency,6,2.0026867389678955
124M,24500,Frequency,7,1.937504529953003
124M,24500,Frequency,8,1.8748242855072021
124M,24500,Frequency,9,1.8164522647857666
124M,24500,Frequency,10,1.7681609392166138
124M,24500,Frequency,11,1.7236993312835693
124M,24500,Frequency,12,1.6637872457504272
124M,24500,Frequency,13,1.620553970336914
124M,24500,Frequency,14,1.5626128911972046
124M,24500,Frequency,15,1.546741008758545
124M,24500,Frequency,16,1.504123330116272
124M,24500,Frequency,17,1.46882164478302
124M,24500,Frequency,18,1.416383147239685
124M,24500,Frequency,19,1.4033839702606201
124M,24500,Frequency,20,1.365173101425171
124M,24500,Frequency,21,1.3160053491592407
124M,24500,Frequency,22,1.3127187490463257
124M,24500,Frequency,23,1.2704756259918213
124M,24500,Frequency,24,1.2387937307357788
124M,24500,Frequency,25,1.211154580116272
124M,24500,Frequency,26,1.186680555343628
124M,24500,Frequency,27,1.1569538116455078
124M,24500,Frequency,28,1.1308085918426514
124M,24500,Frequency,29,1.098475456237793
124M,24500,Frequency,30,1.071502923965454
124M,24500,Frequency,31,1.0301263332366943
124M,24500,Frequency,32,1.0096858739852905
124M,24500,Frequency,33,0.9618000388145447
124M,24500,Frequency,34,0.9272944331169128
124M,24500,Frequency,35,0.8884263634681702
124M,24500,Frequency,36,0.848353385925293
124M,24500,Frequency,37,0.7948810458183289
124M,24500,Frequency,38,0.7551253437995911
124M,24500,Frequency,39,0.69870525598526
124M,24500,Frequency,40,0.655449390411377
124M,24500,Frequency,41,0.6188911199569702
124M,24500,Frequency,42,0.5927954316139221
124M,24500,Frequency,43,0.573348343372345
124M,24500,Frequency,44,0.5691440105438232
124M,24500,Random,0,1.3671584129333496
124M,24500,Random,1,1.3839216232299805
124M,24500,Random,2,1.3998178243637085
124M,24500,Random,3,1.3831372261047363
124M,24500,Random,4,1.3754093647003174
124M,24500,Random,5,1.3726822137832642
124M,24500,Random,6,1.3487876653671265
124M,24500,Random,7,1.3505184650421143
124M,24500,Random,8,1.3689402341842651
124M,24500,Random,9,1.3451628684997559
124M,24500,Random,10,1.3510196208953857
124M,24500,Random,11,1.3688541650772095
124M,24500,Random,12,1.3659844398498535
124M,24500,Random,13,1.3724920749664307
124M,24500,Random,14,1.3897416591644287
124M,24500,Random,15,1.324596881866455
124M,24500,Random,16,1.3780865669250488
124M,24500,Random,17,1.3568562269210815
124M,24500,Random,18,1.3985565900802612
124M,24500,Random,19,1.3531262874603271
124M,24500,Random,20,1.384798526763916
124M,24500,Random,21,1.3924119472503662
124M,24500,Random,22,1.344822883605957
124M,24500,Random,23,1.3884183168411255
124M,24500,Random,24,1.411041021347046
124M,24500,Random,25,1.3654427528381348
124M,24500,Random,26,1.3700661659240723
124M,24500,Random,27,1.3761948347091675
124M,24500,Random,28,1.3749377727508545
124M,24500,Random,29,1.3712834119796753
124M,24500,Random,30,1.3602733612060547
124M,24500,Random,31,1.3825005292892456
124M,24500,Random,32,1.3827905654907227
124M,24500,Random,33,1.3682764768600464
124M,24500,Random,34,1.3805598020553589
124M,24500,Random,35,1.3757824897766113
124M,24500,Random,36,1.3545575141906738
124M,24500,Random,37,1.3794342279434204
124M,24500,Random,38,1.3410816192626953
124M,24500,Random,39,1.379018783569336
124M,24500,Random,40,1.373763918876648
124M,24500,Random,41,1.3654571771621704
124M,24500,Random,42,1.385744571685791
124M,24500,Random,43,1.3714874982833862
124M,24500,Random,44,1.381978154182434
124M,24500,Stat,Mean,1.2736077308654785
124M,24500,Stat,Std,0.5734204649925232
124M,24500,Stat,Max,2.954313039779663
124M,25000,Frequency,0,2.4706037044525146
124M,25000,Frequency,1,2.3895394802093506
124M,25000,Frequency,2,2.3056180477142334
124M,25000,Frequency,3,2.2317636013031006
124M,25000,Frequency,4,2.1534862518310547
124M,25000,Frequency,5,2.0900068283081055
124M,25000,Frequency,6,2.0210719108581543
124M,25000,Frequency,7,1.9558274745941162
124M,25000,Frequency,8,1.8928521871566772
124M,25000,Frequency,9,1.8340198993682861
124M,25000,Frequency,10,1.784008264541626
124M,25000,Frequency,11,1.7389471530914307
124M,25000,Frequency,12,1.6790508031845093
124M,25000,Frequency,13,1.6362115144729614
124M,25000,Frequency,14,1.5763733386993408
124M,25000,Frequency,15,1.5608983039855957
124M,25000,Frequency,16,1.517764925956726
124M,25000,Frequency,17,1.4816913604736328
124M,25000,Frequency,18,1.4290413856506348
124M,25000,Frequency,19,1.4159172773361206
124M,25000,Frequency,20,1.3776006698608398
124M,25000,Frequency,21,1.3278272151947021
124M,25000,Frequency,22,1.3234978914260864
124M,25000,Frequency,23,1.281625747680664
124M,25000,Frequency,24,1.249448299407959
124M,25000,Frequency,25,1.2215371131896973
124M,25000,Frequency,26,1.1964237689971924
124M,25000,Frequency,27,1.1664340496063232
124M,25000,Frequency,28,1.1398793458938599
124M,25000,Frequency,29,1.1070032119750977
124M,25000,Frequency,30,1.0805310010910034
124M,25000,Frequency,31,1.0377156734466553
124M,25000,Frequency,32,1.0168488025665283
124M,25000,Frequency,33,0.9686405658721924
124M,25000,Frequency,34,0.9338982701301575
124M,25000,Frequency,35,0.893541693687439
124M,25000,Frequency,36,0.8528746962547302
124M,25000,Frequency,37,0.7996405959129333
124M,25000,Frequency,38,0.7589738965034485
124M,25000,Frequency,39,0.7014932632446289
124M,25000,Frequency,40,0.6574733853340149
124M,25000,Frequency,41,0.620445191860199
124M,25000,Frequency,42,0.5936951637268066
124M,25000,Frequency,43,0.5737981200218201
124M,25000,Frequency,44,0.5694180130958557
124M,25000,Random,0,1.3788899183273315
124M,25000,Random,1,1.3950177431106567
124M,25000,Random,2,1.412037968635559
124M,25000,Random,3,1.394473671913147
124M,25000,Random,4,1.3871548175811768
124M,25000,Random,5,1.3840861320495605
124M,25000,Random,6,1.3604412078857422
124M,25000,Random,7,1.3614706993103027
124M,25000,Random,8,1.379730224609375
124M,25000,Random,9,1.3566173315048218
124M,25000,Random,10,1.3618003129959106
124M,25000,Random,11,1.3805571794509888
124M,25000,Random,12,1.3773694038391113
124M,25000,Random,13,1.3846405744552612
124M,25000,Random,14,1.4015148878097534
124M,25000,Random,15,1.3349562883377075
124M,25000,Random,16,1.3894505500793457
124M,25000,Random,17,1.367935061454773
124M,25000,Random,18,1.4102343320846558
124M,25000,Random,19,1.3644752502441406
124M,25000,Random,20,1.395755410194397
124M,25000,Random,21,1.4043997526168823
124M,25000,Random,22,1.3565921783447266
124M,25000,Random,23,1.400032877922058
124M,25000,Random,24,1.4228606224060059
124M,25000,Random,25,1.3773598670959473
124M,25000,Random,26,1.381509780883789
124M,25000,Random,27,1.3877358436584473
124M,25000,Random,28,1.3857781887054443
124M,25000,Random,29,1.383111834526062
124M,25000,Random,30,1.371333122253418
124M,25000,Random,31,1.394097089767456
124M,25000,Random,32,1.3946595191955566
124M,25000,Random,33,1.3798784017562866
124M,25000,Random,34,1.392297387123108
124M,25000,Random,35,1.3870986700057983
124M,25000,Random,36,1.3655356168746948
124M,25000,Random,37,1.390910029411316
124M,25000,Random,38,1.3521945476531982
124M,25000,Random,39,1.3915138244628906
124M,25000,Random,40,1.3853628635406494
124M,25000,Random,41,1.3767859935760498
124M,25000,Random,42,1.3970612287521362
124M,25000,Random,43,1.3833527565002441
124M,25000,Random,44,1.3946088552474976
124M,25000,Stat,Mean,1.2837200164794922
124M,25000,Stat,Std,0.5803900361061096
124M,25000,Stat,Max,2.9857277870178223
124M,25500,Frequency,0,2.4933207035064697
124M,25500,Frequency,1,2.4118571281433105
124M,25500,Frequency,2,2.326669216156006
124M,25500,Frequency,3,2.252429962158203
124M,25500,Frequency,4,2.173886775970459
124M,25500,Frequency,5,2.1096794605255127
124M,25500,Frequency,6,2.04006290435791
124M,25500,Frequency,7,1.9742581844329834
124M,25500,Frequency,8,1.9103626012802124
124M,25500,Frequency,9,1.8516156673431396
124M,25500,Frequency,10,1.8005073070526123
124M,25500,Frequency,11,1.7543009519577026
124M,25500,Frequency,12,1.69497811794281
124M,25500,Frequency,13,1.6514172554016113
124M,25500,Frequency,14,1.590675711631775
124M,25500,Frequency,15,1.5754655599594116
124M,25500,Frequency,16,1.5317299365997314
124M,25500,Frequency,17,1.4957139492034912
124M,25500,Frequency,18,1.4413385391235352
124M,25500,Frequency,19,1.428030014038086
124M,25500,Frequency,20,1.3892475366592407
124M,25500,Frequency,21,1.3398830890655518
124M,25500,Frequency,22,1.3353896141052246
124M,25500,Frequency,23,1.2925300598144531
124M,25500,Frequency,24,1.2601425647735596
124M,25500,Frequency,25,1.2312877178192139
124M,25500,Frequency,26,1.2062722444534302
124M,25500,Frequency,27,1.1757550239562988
124M,25500,Frequency,28,1.1491644382476807
124M,25500,Frequency,29,1.1153544187545776
124M,25500,Frequency,30,1.088854193687439
124M,25500,Frequency,31,1.0448784828186035
124M,25500,Frequency,32,1.024176836013794
124M,25500,Frequency,33,0.9756126999855042
124M,25500,Frequency,34,0.940525233745575
124M,25500,Frequency,35,0.900114893913269
124M,25500,Frequency,36,0.8578411340713501
124M,25500,Frequency,37,0.8043915033340454
124M,25500,Frequency,38,0.7626088857650757
124M,25500,Frequency,39,0.7051807045936584
124M,25500,Frequency,40,0.6596536636352539
124M,25500,Frequency,41,0.6219995021820068
124M,25500,Frequency,42,0.5945687890052795
124M,25500,Frequency,43,0.5741434693336487
124M,25500,Frequency,44,0.5697923302650452
124M,25500,Random,0,1.3907033205032349
124M,25500,Random,1,1.406793236732483
124M,25500,Random,2,1.424188256263733
124M,25500,Random,3,1.4057296514511108
124M,25500,Random,4,1.3981146812438965
124M,25500,Random,5,1.3960615396499634
124M,25500,Random,6,1.3722617626190186
124M,25500,Random,7,1.3723610639572144
124M,25500,Random,8,1.391350269317627
124M,25500,Random,9,1.3678195476531982
124M,25500,Random,10,1.3726881742477417
124M,25500,Random,11,1.3927174806594849
124M,25500,Random,12,1.3889219760894775
124M,25500,Random,13,1.3963749408721924
124M,25500,Random,14,1.4137643575668335
124M,25500,Random,15,1.3460525274276733
124M,25500,Random,16,1.401193618774414
124M,25500,Random,17,1.3791557550430298
124M,25500,Random,18,1.4218530654907227
124M,25500,Random,19,1.375984787940979
124M,25500,Random,20,1.4074102640151978
124M,25500,Random,21,1.4166316986083984
124M,25500,Random,22,1.3677116632461548
124M,25500,Random,23,1.4110653400421143
124M,25500,Random,24,1.4348976612091064
124M,25500,Random,25,1.3885290622711182
124M,25500,Random,26,1.3934683799743652
124M,25500,Random,27,1.3990219831466675
124M,25500,Random,28,1.3978604078292847
124M,25500,Random,29,1.39540433883667
124M,25500,Random,30,1.3824000358581543
124M,25500,Random,31,1.406219482421875
124M,25500,Random,32,1.4058525562286377
124M,25500,Random,33,1.3911640644073486
124M,25500,Random,34,1.404120922088623
124M,25500,Random,35,1.3985605239868164
124M,25500,Random,36,1.376844048500061
124M,25500,Random,37,1.4027760028839111
124M,25500,Random,38,1.3628737926483154
124M,25500,Random,39,1.403043508529663
124M,25500,Random,40,1.3970119953155518
124M,25500,Random,41,1.3878947496414185
124M,25500,Random,42,1.409515142440796
124M,25500,Random,43,1.3948713541030884
124M,25500,Random,44,1.4076931476593018
124M,25500,Stat,Mean,1.2939162254333496
124M,25500,Stat,Std,0.5873711109161377
124M,25500,Stat,Max,3.0333759784698486
124M,26000,Frequency,0,2.5151731967926025
124M,26000,Frequency,1,2.434000253677368
124M,26000,Frequency,2,2.3468692302703857
124M,26000,Frequency,3,2.2735378742218018
124M,26000,Frequency,4,2.1935856342315674
124M,26000,Frequency,5,2.12919282913208
124M,26000,Frequency,6,2.0583608150482178
124M,26000,Frequency,7,1.9925776720046997
124M,26000,Frequency,8,1.9285097122192383
124M,26000,Frequency,9,1.8684664964675903
124M,26000,Frequency,10,1.8168028593063354
124M,26000,Frequency,11,1.7713390588760376
124M,26000,Frequency,12,1.7114330530166626
124M,26000,Frequency,13,1.6662917137145996
124M,26000,Frequency,14,1.6042544841766357
124M,26000,Frequency,15,1.5890904664993286
124M,26000,Frequency,16,1.5453150272369385
124M,26000,Frequency,17,1.5081043243408203
124M,26000,Frequency,18,1.4535975456237793
124M,26000,Frequency,19,1.440872073173523
124M,26000,Frequency,20,1.4017568826675415
124M,26000,Frequency,21,1.3508169651031494
124M,26000,Frequency,22,1.347127914428711
124M,26000,Frequency,23,1.3035175800323486
124M,26000,Frequency,24,1.2702723741531372
124M,26000,Frequency,25,1.241271734237671
124M,26000,Frequency,26,1.2154957056045532
124M,26000,Frequency,27,1.1848645210266113
124M,26000,Frequency,28,1.1582560539245605
124M,26000,Frequency,29,1.1237810850143433
124M,26000,Frequency,30,1.0972416400909424
124M,26000,Frequency,31,1.0527098178863525
124M,26000,Frequency,32,1.0320913791656494
124M,26000,Frequency,33,0.9822416305541992
124M,26000,Frequency,34,0.9466581344604492
124M,26000,Frequency,35,0.9055838584899902
124M,26000,Frequency,36,0.8628782629966736
124M,26000,Frequency,37,0.8084588646888733
124M,26000,Frequency,38,0.7658235430717468
124M,26000,Frequency,39,0.7085543274879456
124M,26000,Frequency,40,0.6615779995918274
124M,26000,Frequency,41,0.623435914516449
124M,26000,Frequency,42,0.5954321026802063
124M,26000,Frequency,43,0.5746119022369385
124M,26000,Frequency,44,0.5701830387115479
124M,26000,Random,0,1.4022074937820435
124M,26000,Random,1,1.4176621437072754
124M,26000,Random,2,1.4355908632278442
124M,26000,Random,3,1.4171671867370605
124M,26000,Random,4,1.4095207452774048
124M,26000,Random,5,1.4078456163406372
124M,26000,Random,6,1.383937954902649
124M,26000,Random,7,1.3839411735534668
124M,26000,Random,8,1.4026386737823486
124M,26000,Random,9,1.3795897960662842
124M,26000,Random,10,1.3836697340011597
124M,26000,Random,11,1.4038853645324707
124M,26000,Random,12,1.4004665613174438
124M,26000,Random,13,1.4079076051712036
124M,26000,Random,14,1.4249439239501953
124M,26000,Random,15,1.3575308322906494
124M,26000,Random,16,1.412564754486084
124M,26000,Random,17,1.3911042213439941
124M,26000,Random,18,1.4331477880477905
124M,26000,Random,19,1.3870608806610107
124M,26000,Random,20,1.418705940246582
124M,26000,Random,21,1.4282047748565674
124M,26000,Random,22,1.3790249824523926
124M,26000,Random,23,1.4229822158813477
124M,26000,Random,24,1.4464654922485352
124M,26000,Random,25,1.4001632928848267
124M,26000,Random,26,1.4052836894989014
124M,26000,Random,27,1.4097998142242432
124M,26000,Random,28,1.4089733362197876
124M,26000,Random,29,1.4061285257339478
124M,26000,Random,30,1.393662929534912
124M,26000,Random,31,1.4177793264389038
124M,26000,Random,32,1.4178099632263184
124M,26000,Random,33,1.4019004106521606
124M,26000,Random,34,1.415819525718689
124M,26000,Random,35,1.4099246263504028
124M,26000,Random,36,1.3877854347229004
124M,26000,Random,37,1.4142597913742065
124M,26000,Random,38,1.3742457628250122
124M,26000,Random,39,1.41459059715271
124M,26000,Random,40,1.408288836479187
124M,26000,Random,41,1.3994508981704712
124M,26000,Random,42,1.420745611190796
124M,26000,Random,43,1.4059741497039795
124M,26000,Random,44,1.4195096492767334
124M,26000,Stat,Mean,1.3039458990097046
124M,26000,Stat,Std,0.5942511558532715
124M,26000,Stat,Max,3.0944769382476807
124M,26500,Frequency,0,2.5382401943206787
124M,26500,Frequency,1,2.455380916595459
124M,26500,Frequency,2,2.3682303428649902
124M,26500,Frequency,3,2.2944159507751465
124M,26500,Frequency,4,2.2135891914367676
124M,26500,Frequency,5,2.1477081775665283
124M,26500,Frequency,6,2.077016830444336
124M,26500,Frequency,7,2.0112946033477783
124M,26500,Frequency,8,1.9459139108657837
124M,26500,Frequency,9,1.8853121995925903
124M,26500,Frequency,10,1.8331189155578613
124M,26500,Frequency,11,1.7876033782958984
124M,26500,Frequency,12,1.7266796827316284
124M,26500,Frequency,13,1.6813303232192993
124M,26500,Frequency,14,1.6184970140457153
124M,26500,Frequency,15,1.6026453971862793
124M,26500,Frequency,16,1.5591318607330322
124M,26500,Frequency,17,1.5211280584335327
